                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                 1.0959,                0.73034,                0.99889,                0.68309,                0.30342,                0.34549,                0.22251,                 1.1693,                0.78658,                0.99456,               0.000958,               0.000958,               0.000958
                    140,                 1.0959,                0.72863,                0.99857,                0.68356,                0.30337,                0.34553,                0.22263,                 1.1694,                0.78653,                0.99449,               0.000892,               0.000892,               0.000892
                    141,                 1.1082,                0.70959,                0.99143,                0.68156,                0.30362,                0.34561,                0.22273,                 1.1696,                0.78665,                 0.9944,               0.000826,               0.000826,               0.000826
                    142,                 1.1047,                0.70589,                0.98955,                 0.6816,                0.30387,                0.34572,                0.22268,                 1.1693,                 0.7867,                0.99429,                0.00076,                0.00076,                0.00076
                    143,                 1.0985,                0.69905,                 0.9877,                0.68185,                0.30332,                0.34559,                0.22273,                 1.1693,                0.78683,                0.99424,               0.000694,               0.000694,               0.000694
                    144,                 1.0963,                0.69661,                0.98557,                0.68383,                0.30318,                0.34563,                0.22274,                 1.1694,                0.78696,                0.99411,               0.000628,               0.000628,               0.000628
                    145,                 1.0932,                0.69296,                0.98551,                0.68385,                0.30332,                0.34558,                0.22269,                 1.1693,                0.78704,                0.99399,               0.000562,               0.000562,               0.000562
                    146,                 1.0918,                0.69203,                0.98411,                0.68346,                0.30354,                0.34556,                0.22269,                 1.1692,                0.78704,                0.99388,               0.000496,               0.000496,               0.000496
                    147,                 1.0889,                0.68874,                0.98324,                0.67895,                0.30453,                0.34546,                 0.2226,                 1.1692,                0.78699,                0.99376,                0.00043,                0.00043,                0.00043
                    148,                 1.0867,                0.68575,                 0.9816,                0.67993,                0.30399,                0.34526,                0.22267,                 1.1693,                0.78709,                 0.9937,               0.000364,               0.000364,               0.000364
                    149,                 1.0837,                0.68152,                0.98161,                0.68069,                0.30389,                0.34518,                0.22251,                 1.1694,                0.78725,                0.99374,               0.000298,               0.000298,               0.000298
                    150,                 1.0825,                0.68142,                0.98037,                0.68109,                0.30379,                0.34533,                0.22248,                 1.1698,                0.78738,                0.99378,               0.000232,               0.000232,               0.000232
